Date,AIEG,AIESH,Gaselwest,IMEA,IVEG,IVEKA,Imewo,Infrax West,Inter-Energa,Intergem,Iverlek,Ores Brabant wallon,Ores Est,Ores Hainaut,Ores Luxembourg,Ores Mouscron,Ores Namur,Ores Verviers,PBE,Regie de Wavre,Resa,Sibelga,Sibelgas
2015-04-18,2451.99,2139.36,2492.55,4087.68,5496.11,2466.79,2479.98,2490.41,2439.2,2488.82,2501.21,2480.85,2448.82,2488.74,2549.83,2509,2510.88,2327.27,2422.95,2534.09,6483.35,2494.105,2488.42
2015-04-19,2284.73,2030.09,2276.39,3677.44,4948.79,2251.57,2241.57,2266.95,2262.49,2231.63,2271.9,2278.52,2260.62,2339.47,2484.3,2317.21,2362.43,2158.77,2234.37,2377.34,6025.21,2247.28,2240.7
2015-04-20,2341.19,2017.3,2403.41,3961.9,5338.14,2391.51,2399.78,2401.88,2374.27,2417.06,2416.7,2377.78,2411.67,2373.29,2412.76,2400.74,2386.36,2264.85,2335.43,2411.1,6269.62,2412.195,2407.05
2015-04-21,2415.15,2055.91,2580.04,4017.94,5416.01,2434.97,2530.59,2597.54,2413.56,2450.61,2451.74,2406.84,2436.35,2450.73,2509.93,2606,2435.09,2310,2377.98,2451.53,6391.23,2444.045,2439.62
2015-04-22,1991.06,1913.46,1635.26,2683.26,3592.19,1738.29,1566.13,1593.84,1917.39,1605.2,1741.2,1877.69,2083.93,1979.05,2327.86,1696.72,2070.03,1920.77,1829.76,2009.14,5244.98,1669.295,1653.38
2015-04-23,2264.45,1901.65,2345.33,3777.94,5091.5,2265.77,2313.77,2326.29,2256.36,2303.49,2281.12,2203.09,2419.19,2234.05,2509.93,2410.2,2215.32,2237.89,2189.43,2157.31,6097.41,2288.13,2285.44
2015-04-24,2198.91,1742.74,2217.5,3483.19,4682.81,2129.71,2178.3,2220.33,2188.06,2120.41,2143.85,2129.38,2333.12,2125.68,2363.15,2254.12,2181.07,2145.59,2115.42,2169.71,5868.73,2125.58,2119.96
2015-04-25,1032.87,855.01,1021.82,1587.07,2144.54,972.71,1003.62,1020.92,1004.76,976.94,981.1,982.05,871.43,996.64,815.8,1038.96,1001.21,893.71,972.91,1008.46,2632.68,973.01,969.15
2015-04-26,935.35,781.26,814.96,1415.53,1895.76,899.73,817.14,811.54,942.21,840.55,890.75,898.78,1121.4,860.74,1166.93,800.73,971.22,952.42,905.83,964.23,2527.16,863.395,860.94
2015-04-27,1260.29,1321.56,2353.62,3513.32,4740.52,1975.51,2320.51,2411.42,1364.98,2167.16,2025.77,1850.21,542.04,1983.58,528.57,2366.75,1435.65,775.28,1704.05,1773.12,2715.27,2111.96,2121.87
2015-04-28,2143.49,1858.38,2443.32,3692.25,4984.55,2184.14,2375.64,2484.49,2078.22,2270.37,2219.85,2155.77,2041.58,2212.55,2029.82,2468.65,2131.96,1939.32,2088.37,2122.04,5469.77,2244.145,2242.94
2015-04-29,1658.91,1341.53,1581.79,2429.28,3268.34,1522.23,1540.18,1596.12,1657.6,1475.27,1518.95,1534.42,1572.8,1534.74,1530.62,1599.99,1597.89,1514.09,1554.69,1583.62,4360.92,1484.585,1478.56
2015-04-30,1254.59,1082.8,2197.05,3262.33,4408.09,1842.79,2134,2258.04,1352.1,1987.85,1863.84,1637.4,883.22,1671,701.01,2222.57,1279.61,958.01,1574.3,1523.42,2954.6,1933.8,1944.8
2015-05-01,1934.71,1443.55,2059.52,3462.05,4655.87,2098.57,2075.4,2064.94,2044.12,2091.67,2097.43,2009.78,1658.1,1934.68,1172.3,2051.12,1877.8,1752.56,2008.81,2014.68,5124.98,2091.395,2089.84
2015-05-02,1674.78,1259.49,1468.23,2672.9,3574.43,1650.5,1478.59,1443.44,1708.55,1583.73,1646.19,1627.11,1690.09,1548.18,1421.15,1480.73,1636.43,1603.34,1632.33,1667.82,4509.26,1619.705,1616.41
